#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	AGTR1	9606.ENSP00000386456	9606.ENSP00000398832	0	0	0.500	0	0.499
ANG	EIF2AK1	9606.ENSP00000336762	9606.ENSP00000199389	0	0	0	0.653	0.653
ANGPT1	FLT1	9606.ENSP00000428340	9606.ENSP00000282397	0	0	0	0.775	0.775
ANGPT1	PIK3R1	9606.ENSP00000428340	9606.ENSP00000428056	0	0	0.500	0	0.499
ANGPT1	EFNB2	9606.ENSP00000428340	9606.ENSP00000493716	0	0	0	0.443	0.443
ANK2	VCL	9606.ENSP00000349588	9606.ENSP00000211998	0	0	0	0.422	0.422
ANK2	TRPA1	9606.ENSP00000349588	9606.ENSP00000262209	0	0	0	0.408	0.408
ANK2	MAP1B	9606.ENSP00000349588	9606.ENSP00000296755	0	0	0	0.412	0.412
ANK2	TRPC1	9606.ENSP00000349588	9606.ENSP00000419313	0	0	0	0.402	0.402
ANK2	NCAM1	9606.ENSP00000349588	9606.ENSP00000480132	0	0	0	0.415	0.414
ANK2	SCN7A	9606.ENSP00000349588	9606.ENSP00000496114	0	0	0.500	0	0.499
ANK2	MAML2	9606.ENSP00000349588	9606.ENSP00000434552	0	0	0	0.520	0.520
ANK2	DMD	9606.ENSP00000349588	9606.ENSP00000354923	0	0.292	0	0.450	0.593
ANK2	SPTBN2	9606.ENSP00000349588	9606.ENSP00000432568	0	0.187	0.500	0.108	0.605
ANP32E	H4C6	9606.ENSP00000463154	9606.ENSP00000244537	0	0.509	0	0	0.509
ANP32E	RUVBL1	9606.ENSP00000463154	9606.ENSP00000318297	0	0.345	0.900	0	0.931
ANPEP	MMP2	9606.ENSP00000300060	9606.ENSP00000219070	0	0	0	0.447	0.447
ANPEP	FLT1	9606.ENSP00000300060	9606.ENSP00000282397	0	0	0	0.455	0.455
ANPEP	KIT	9606.ENSP00000300060	9606.ENSP00000288135	0	0	0	0.658	0.658
ANPEP	TM4SF1	9606.ENSP00000300060	9606.ENSP00000304277	0	0	0	0.585	0.585
ANXA1	FOLH1	9606.ENSP00000366109	9606.ENSP00000256999	0	0	0	0.413	0.412
ANXA1	PFN4	9606.ENSP00000366109	9606.ENSP00000322170	0	0	0	0.415	0.414
ANXA1	SOX2	9606.ENSP00000366109	9606.ENSP00000323588	0	0.420	0	0.140	0.479
ANXA1	PMCH	9606.ENSP00000366109	9606.ENSP00000332225	0	0	0.400	0	0.400
ANXA1	ANXA6	9606.ENSP00000366109	9606.ENSP00000346550	0	0	0.800	0	0.800
ANXA1	PLA2G4A	9606.ENSP00000366109	9606.ENSP00000356436	0	0.457	0	0.343	0.627
ANXA1	KNG1	9606.ENSP00000366109	9606.ENSP00000493985	0	0	0.400	0	0.400
ANXA1	SAA1	9606.ENSP00000366109	9606.ENSP00000384906	0	0	0.400	0	0.400
ANXA1	PLA2G2A	9606.ENSP00000366109	9606.ENSP00000383364	0	0	0	0.450	0.450
ANXA1	FPR2	9606.ENSP00000366109	9606.ENSP00000468897	0	0	0.500	0.981	0.990
ANXA6	POLD2	9606.ENSP00000346550	9606.ENSP00000480186	0	0	0	0.418	0.418
ANXA6	SERPINE2	9606.ENSP00000346550	9606.ENSP00000415786	0	0	0	0.433	0.433
ANXA6	PRKCA	9606.ENSP00000346550	9606.ENSP00000408695	0	0.287	0	0.633	0.727
AOX1	MAOB	9606.ENSP00000363832	9606.ENSP00000367309	0	0	0	0.403	0.403
AP1M2	CLVS2	9606.ENSP00000465685	9606.ENSP00000275162	0	0	0.500	0	0.499
AP1M2	KCNQ5	9606.ENSP00000465685	9606.ENSP00000345055	0	0	0.540	0	0.540
AP1M2	DNM3	9606.ENSP00000465685	9606.ENSP00000347457	0	0	0.500	0	0.499
AP1M2	NCALD	9606.ENSP00000465685	9606.ENSP00000379256	0	0	0.540	0	0.540
AP1M2	TPD52	9606.ENSP00000465685	9606.ENSP00000429309	0	0	0.500	0	0.499
APLF	POLB	9606.ENSP00000307004	9606.ENSP00000265421	0	0.669	0	0.169	0.713
APLF	H2BC1	9606.ENSP00000307004	9606.ENSP00000274764	0	0.540	0	0	0.540
APLF	LIG3	9606.ENSP00000307004	9606.ENSP00000367787	0	0.585	0	0	0.585
APLF	HLTF	9606.ENSP00000307004	9606.ENSP00000308944	0	0.597	0	0	0.597
ARFIP2	RAC1	9606.ENSP00000484121	9606.ENSP00000348461	0	0.967	0	0	0.967
ARHGAP15	MICAL2	9606.ENSP00000295095	9606.ENSP00000256194	0	0.538	0	0	0.538
ARHGAP32	RAC1	9606.ENSP00000310561	9606.ENSP00000348461	0	0.457	0	0	0.457
ARHGEF6	GNG11	9606.ENSP00000250617	9606.ENSP00000248564	0	0	0.500	0	0.499
ARHGEF6	GNGT1	9606.ENSP00000250617	9606.ENSP00000248572	0	0	0.500	0	0.499
ARHGEF6	RAC1	9606.ENSP00000250617	9606.ENSP00000348461	0	0.457	0	0.106	0.493
ARHGEF6	GNG2	9606.ENSP00000250617	9606.ENSP00000334448	0	0	0.500	0	0.499
ARHGEF6	PAK3	9606.ENSP00000250617	9606.ENSP00000353864	0	0.255	0	0.734	0.794
ASB2	FLNA	9606.ENSP00000451575	9606.ENSP00000358866	0	0.457	0	0	0.457
ASIC4	ASIC5	9606.ENSP00000350786	9606.ENSP00000442477	0	0	0.900	0.057	0.901
ASIC5	STOM	9606.ENSP00000442477	9606.ENSP00000286713	0	0	0.500	0.102	0.531
ASPH	RYR2	9606.ENSP00000368767	9606.ENSP00000355533	0	0	0.800	0.933	0.986
ASPN	TGFB3	9606.ENSP00000364694	9606.ENSP00000238682	0	0	0.500	0	0.499
ASPN	PRELP	9606.ENSP00000364694	9606.ENSP00000343924	0	0	0	0.413	0.412
ASPN	TGFB2	9606.ENSP00000364694	9606.ENSP00000355896	0	0	0.500	0	0.499
ASPN	OMD	9606.ENSP00000364694	9606.ENSP00000364700	0	0	0	0.451	0.451
ASZ1	TDRD1	9606.ENSP00000284629	9606.ENSP00000251864	0	0	0.800	0	0.800
ASZ1	TDRD12	9606.ENSP00000284629	9606.ENSP00000390621	0	0	0.800	0	0.800
ATP11A	ATP11B	9606.ENSP00000420387	9606.ENSP00000321195	0	0	0.540	0	0.540
ATP11A	ATP11C	9606.ENSP00000420387	9606.ENSP00000332756	0	0.225	0.540	0	0.628
ATP11A	ATP8A2	9606.ENSP00000420387	9606.ENSP00000371070	0	0	0.540	0	0.540
ATP11A	ATP8A1	9606.ENSP00000420387	9606.ENSP00000371084	0	0	0.900	0	0.900
ATP11B	ATP8A1	9606.ENSP00000321195	9606.ENSP00000371084	0	0	0.540	0	0.540
ATP11B	ATP8A2	9606.ENSP00000321195	9606.ENSP00000371070	0	0	0.540	0	0.540
ATP11B	ATP11C	9606.ENSP00000321195	9606.ENSP00000332756	0	0	0.540	0	0.540
ATP11C	ATP8A2	9606.ENSP00000332756	9606.ENSP00000371070	0	0	0.540	0	0.540
ATP11C	ATP8A1	9606.ENSP00000332756	9606.ENSP00000371084	0	0	0.540	0	0.540
ATP1A2	PLN	9606.ENSP00000354490	9606.ENSP00000350132	0	0.149	0.720	0	0.751
ATP1A2	FXYD6	9606.ENSP00000354490	9606.ENSP00000442756	0	0.189	0.500	0	0.577
ATP1A2	FXYD1	9606.ENSP00000354490	9606.ENSP00000481244	0	0	0.900	0	0.900
ATP1A2	ATP1B1	9606.ENSP00000354490	9606.ENSP00000356790	0	0.375	0.900	0.447	0.962
ATP1B1	GJA1	9606.ENSP00000356790	9606.ENSP00000282561	0	0	0	0.407	0.407
ATP1B1	PLN	9606.ENSP00000356790	9606.ENSP00000350132	0	0	0.720	0	0.720
ATP1B1	FXYD6	9606.ENSP00000356790	9606.ENSP00000442756	0	0.366	0.500	0	0.669
ATP1B1	FXYD1	9606.ENSP00000356790	9606.ENSP00000481244	0	0.292	0.900	0	0.926
ATP2B4	CYP2B6	9606.ENSP00000350310	9606.ENSP00000324648	0	0.455	0	0	0.455
ATP2C1	CFL2	9606.ENSP00000421326	9606.ENSP00000298159	0	0	0	0.609	0.609
ATP6V0D2	SLC14A1	9606.ENSP00000285393	9606.ENSP00000390637	0	0.478	0	0	0.478
ATP6V0D2	ATP6V1G3	9606.ENSP00000285393	9606.ENSP00000417171	0	0.363	0.540	0.150	0.729
ATP6V0D2	ATP6V1G2	9606.ENSP00000285393	9606.ENSP00000302194	0	0.632	0.720	0.152	0.905
ATP6V0D2	ATP6V1G1	9606.ENSP00000285393	9606.ENSP00000363162	0	0.363	0.900	0.151	0.941
ATP6V1G1	ATP6V1G2	9606.ENSP00000363162	9606.ENSP00000302194	0	0.609	0.900	0	0.959
ATP6V1G1	ATP6V1G3	9606.ENSP00000363162	9606.ENSP00000417171	0	0	0.540	0	0.540
ATP6V1G2	ATP6V1G3	9606.ENSP00000302194	9606.ENSP00000417171	0	0	0.540	0	0.540
ATP8A1	ATP8A2	9606.ENSP00000371084	9606.ENSP00000371070	0	0	0.540	0	0.540
ATXN3L	LIG3	9606.ENSP00000369996	9606.ENSP00000367787	0	0	0	0.433	0.433
B4GALT6	ST3GAL5	9606.ENSP00000306459	9606.ENSP00000491316	0	0	0	0.442	0.442
BAIAP2L1	IP6K3	9606.ENSP00000005260	9606.ENSP00000293756	0	0.421	0	0	0.420
BAIAP2L1	RAC1	9606.ENSP00000005260	9606.ENSP00000348461	0	0.137	0.500	0	0.550
BCAM	ZSWIM2	9606.ENSP00000270233	9606.ENSP00000295131	0	0.521	0	0	0.521
BCHE	NOP10	9606.ENSP00000264381	9606.ENSP00000332198	0	0.409	0	0	0.408
BCHE	ENTPD5	9606.ENSP00000264381	9606.ENSP00000335246	0	0.425	0	0	0.424
BCL11A	VCL	9606.ENSP00000496168	9606.ENSP00000211998	0	0	0.500	0	0.499
BCL11A	RANBP2	9606.ENSP00000496168	9606.ENSP00000283195	0	0	0.500	0	0.499
BCL11A	SOX2	9606.ENSP00000496168	9606.ENSP00000323588	0	0	0	0.440	0.440
BCL11A	MSN	9606.ENSP00000496168	9606.ENSP00000353408	0	0	0.500	0	0.499
BCL11A	MBD3L1	9606.ENSP00000496168	9606.ENSP00000471575	0	0.650	0	0	0.650
BICD1	GALNT1	9606.ENSP00000498700	9606.ENSP00000269195	0	0	0.500	0	0.499
BIN2	KANK1	9606.ENSP00000498807	9606.ENSP00000477725	0	0	0.500	0	0.499
BMP10	BMP5	9606.ENSP00000295379	9606.ENSP00000359866	0	0	0	0.446	0.446
BMP10	FBN1	9606.ENSP00000295379	9606.ENSP00000325527	0	0	0	0.453	0.453
BMP5	FBN1	9606.ENSP00000359866	9606.ENSP00000325527	0	0	0	0.652	0.652
BMPR1B	LRIG1	9606.ENSP00000401907	9606.ENSP00000273261	0	0	0	0.412	0.412
C11orf80	SPO11	9606.ENSP00000354227	9606.ENSP00000360310	0	0	0	0.958	0.958
C15orf41	FASN	9606.ENSP00000456477	9606.ENSP00000304592	0	0.148	0.257	0.145	0.411
C3	F5	9606.ENSP00000245907	9606.ENSP00000356771	0	0	0.540	0	0.540
C3	F8	9606.ENSP00000245907	9606.ENSP00000353393	0	0	0.540	0	0.540
C3	MASP1	9606.ENSP00000245907	9606.ENSP00000296280	0	0.179	0.540	0.213	0.676
C3	CFHR5	9606.ENSP00000245907	9606.ENSP00000256785	0	0.292	0.500	0.851	0.942
C3	CFHR1	9606.ENSP00000245907	9606.ENSP00000314299	0	0.952	0.500	0.382	0.984
C3	C4A	9606.ENSP00000245907	9606.ENSP00000396688	0	0	0.400	0.982	0.988
C3	CFD	9606.ENSP00000245907	9606.ENSP00000468253	0	0.800	0.900	0.793	0.995
C3	CR2	9606.ENSP00000245907	9606.ENSP00000356024	0	0.960	0.700	0.967	0.999
C4A	OMD	9606.ENSP00000396688	9606.ENSP00000364700	0	0	0	0.422	0.422
C4orf19	STK26	9606.ENSP00000371408	9606.ENSP00000377867	0	0.652	0	0	0.652
C5orf30	SPDEF	9606.ENSP00000326110	9606.ENSP00000363149	0	0.649	0	0	0.649
C7	SLC25A31	9606.ENSP00000322061	9606.ENSP00000281154	0	0	0.720	0	0.720
C7	CLU	9606.ENSP00000322061	9606.ENSP00000315130	0	0.292	0.500	0.321	0.738
C7	PLEKHA7	9606.ENSP00000322061	9606.ENSP00000435389	0	0	0.720	0	0.720
CACHD1	CACNG4	9606.ENSP00000290039	9606.ENSP00000262138	0	0	0.540	0.045	0.541
CACHD1	CACNA1D	9606.ENSP00000290039	9606.ENSP00000288139	0	0.086	0.540	0.085	0.581
CACHD1	CACNA2D1	9606.ENSP00000290039	9606.ENSP00000349320	0	0	0.540	0	0.540
CACNA1D	CACNG4	9606.ENSP00000288139	9606.ENSP00000262138	0	0	0.900	0.550	0.953
CACNA1D	KCNN2	9606.ENSP00000288139	9606.ENSP00000264773	0	0	0	0.573	0.573
CACNA1D	NCAM1	9606.ENSP00000288139	9606.ENSP00000480132	0	0	0.500	0	0.499
CACNA1D	LRRC7	9606.ENSP00000288139	9606.ENSP00000309245	0	0	0	0.624	0.624
CACNA1D	RYR2	9606.ENSP00000288139	9606.ENSP00000355533	0	0.322	0	0.781	0.845
CACNA1D	CACNA2D1	9606.ENSP00000288139	9606.ENSP00000349320	0	0.931	0.900	0.110	0.993
CACNA2D1	CACNG4	9606.ENSP00000349320	9606.ENSP00000262138	0	0	0.900	0.087	0.904
CACNG4	GRIN2B	9606.ENSP00000262138	9606.ENSP00000477455	0	0	0.720	0	0.720
CACNG4	GRIN2A	9606.ENSP00000262138	9606.ENSP00000332549	0	0	0.720	0	0.720
CACNG4	GRIN3A	9606.ENSP00000262138	9606.ENSP00000355155	0	0	0.720	0	0.720
CACNG4	GRIA3	9606.ENSP00000262138	9606.ENSP00000481554	0	0.181	0.720	0	0.760
CALD1	VCL	9606.ENSP00000354826	9606.ENSP00000211998	0	0	0.500	0	0.499
CALD1	MYL9	9606.ENSP00000354826	9606.ENSP00000279022	0	0	0.500	0	0.499
CALD1	TPM2	9606.ENSP00000354826	9606.ENSP00000496494	0	0	0.500	0	0.499
CALD1	SORBS1	9606.ENSP00000354826	9606.ENSP00000360293	0	0	0.500	0	0.499
CALD1	MYH11	9606.ENSP00000354826	9606.ENSP00000379616	0	0	0.800	0.181	0.829
CALD1	LMOD1	9606.ENSP00000354826	9606.ENSP00000356257	0	0.195	0.800	0	0.832
CANT1	TGFBR3	9606.ENSP00000307674	9606.ENSP00000212355	0	0.420	0	0	0.420
CANT1	ENTPD5	9606.ENSP00000307674	9606.ENSP00000335246	0	0	0.900	0	0.900
CAP2	CFL2	9606.ENSP00000229922	9606.ENSP00000298159	0	0.348	0	0.220	0.470
CAP2	ROBO1	9606.ENSP00000229922	9606.ENSP00000420321	0	0	0.500	0	0.499
CAP2	SLIT2	9606.ENSP00000229922	9606.ENSP00000422591	0	0	0.500	0	0.499
CARD16	CSTA	9606.ENSP00000364858	9606.ENSP00000264474	0	0.071	0.540	0.102	0.582
CAV1	ITGB4	9606.ENSP00000339191	9606.ENSP00000200181	0	0	0.650	0.046	0.651
CAV1	VCL	9606.ENSP00000339191	9606.ENSP00000211998	0	0.139	0	0.449	0.505
CAV1	ITGB8	9606.ENSP00000339191	9606.ENSP00000222573	0	0	0.650	0	0.650
CAV1	CAV2	9606.ENSP00000339191	9606.ENSP00000222693	0	0.457	0.900	0.982	0.998
CAV1	SERPINF1	9606.ENSP00000339191	9606.ENSP00000254722	0	0	0	0.433	0.433
CAV1	DSG2	9606.ENSP00000339191	9606.ENSP00000261590	0	0.094	0	0.443	0.473
CAV1	GJA1	9606.ENSP00000339191	9606.ENSP00000282561	0	0.329	0	0.841	0.888
CAV1	GRK2	9606.ENSP00000339191	9606.ENSP00000312262	0	0.292	0	0.432	0.580
CAV1	RHOJ	9606.ENSP00000339191	9606.ENSP00000316729	0	0.125	0.500	0	0.543
CAV1	F2R	9606.ENSP00000339191	9606.ENSP00000321326	0	0.457	0	0	0.457
